"Province","airport_iata","attribution"
"Sichuan Province","LIA",0.00420293808151776
"Sichuan Province","LZO",0.0226220943336677
"Sichuan Province","WMT",0.00650430984819951
"Sichuan Province","MIG",0.0355613476442337
"Sichuan Province","NAO",0.0329561438541326
"Sichuan Province","CTU",0.0549218598975714
"Sichuan Province","WXN",0.00279847583977199
"Sichuan Province","XIC",0.0746357503186345
"Sichuan Province","YBP",0.0347938418959644
"Sichuan Province","YUS",0.0576800533816084
"Taiwan Province","XMN",0.00302630138128836
"Taiwan Province","FOC",0.513188657301169
"Taiwan Province","JJN",0.483785011252056
"Tianjin Municipality","TVS",0.184761221920124
"Tianjin Municipality","PEK",0.0382170891506408
"Tianjin Municipality","PKX",0.0485134251398256
"Tianjin Municipality","TSN",0.728508005285909
"Tibet Autonomous Region","RKZ",0.284421539550548
"Tibet Autonomous Region","HTT",0.0327421998972404
"Tibet Autonomous Region","DIG",0.00556079222911384
"Tibet Autonomous Region","NGQ",0.232507208578421
"Tibet Autonomous Region","BPX",0.0861950823077341
"Tibet Autonomous Region","DCY",0.00881704311999362
"Tibet Autonomous Region","LXA",0.119550324035111
"Tibet Autonomous Region","LZY",0.092225506684937
"Tibet Autonomous Region","IQM",0.098252652138067
"Tibet Autonomous Region","HTN",0.021650304477927
"Tibet Autonomous Region","YUS",0.0180772949881029
"Xinjiang Uygur Autonomous Region","AAT",0.0189292253043786
"Xinjiang Uygur Autonomous Region","SHF",0.0245616510595092
"Xinjiang Uygur Autonomous Region","DNH",0.0106559818658889
"Xinjiang Uygur Autonomous Region","HTT",0.0835189566144296
"Xinjiang Uygur Autonomous Region","AKU",0.0574502232498416
"Xinjiang Uygur Autonomous Region","BPL",0.0143299912095468
"Xinjiang Uygur Autonomous Region","IQM",0.129157250694336
"Xinjiang Uygur Autonomous Region","FYN",0.0358753624014016
"Xinjiang Uygur Autonomous Region","HMI",0.07355388560868
"Xinjiang Uygur Autonomous Region","KCA",0.0528912537831787
"Xinjiang Uygur Autonomous Region","KRL",0.0606853697919639
"Xinjiang Uygur Autonomous Region","KRY",0.028523287571673
"Xinjiang Uygur Autonomous Region","KJI",0.0196529007242748
"Xinjiang Uygur Autonomous Region","NLT",0.0261414652286986
"Xinjiang Uygur Autonomous Region","QSZ",0.0643773066427963
"Xinjiang Uygur Autonomous Region","KHG",0.0444434240208942
"Xinjiang Uygur Autonomous Region","SXJ",0.0581696136181468
"Xinjiang Uygur Autonomous Region","TCG",0.0125024135405277
"Xinjiang Uygur Autonomous Region","HTN",0.0954477727050407
"Xinjiang Uygur Autonomous Region","TLQ",0.0366159214561146
"Xinjiang Uygur Autonomous Region","URC",0.0309636234613032
"Xinjiang Uygur Autonomous Region","YIN",0.0215531506902471
"Yunnan Province","YUA",0.0616649860693178
"Yunnan Province","BSD",0.0509119697279615
"Yunnan Province","LNJ",0.0632252174949934
"Yunnan Province","PZI",0.0142742362821123
"Yunnan Province","AEB",0.00858180396097344
"Yunnan Province","NLH",0.0182025514814653
"Yunnan Province","CWJ",0.0222512295374431
"Yunnan Province","DLU",0.0623589212524777
"Yunnan Province","DIG",0.0752714729070168
"Yunnan Province","JHG",0.0401869297773994
"Yunnan Province","JMJ",0.0271938537957352
"Yunnan Province","LJG",0.0530775700517914
"Yunnan Province","LUM",0.0288468715076864
"Yunnan Province","KMG",0.116194747143286
"Yunnan Province","SYM",0.0918674084656733
"Yunnan Province","WNH",0.115850410391931
"Yunnan Province","ZAT",0.0551888828052681
"Yunnan Province","BFJ",0.0111066363879921
"Yunnan Province","DCY",0.0045392130258351
"Yunnan Province","LZO",0.000208002087523565
"Yunnan Province","LPF",0.0135936306454685
"Yunnan Province","TCZ",0.0276862192050631
"Yunnan Province","YBP",0.00846387962891178
"Yunnan Province","ACX",0.0292533074565959
"Zhejiang Province","SQD",0.00932028231564534
"Zhejiang Province","CZX",0.000022446247525472
"Zhejiang Province","HGH",0.138889778093537
"Zhejiang Province","JUZ",0.199978166488004
"Zhejiang Province","HYN",0.0771104047137688
"Zhejiang Province","NGB",0.0998538261568632
"Zhejiang Province","NKG",0.0000360163894085903
"Zhejiang Province","PVG",0.0000739618316386197
"Zhejiang Province","SHA",0.00974216871121015
"Zhejiang Province","SZV",0.0348881019221111
"Zhejiang Province","TXN",0.0523573613952942
"Zhejiang Province","WHU",0.000700222742479251
"Zhejiang Province","WUS",0.0269254987707838
"Zhejiang Province","WNZ",0.148712096039913
"Zhejiang Province","YIW",0.195322910963352
"Zhejiang Province","HSN",0.00606678367679654
